Date,Commodity,Sector,Closing Price
8/2/2010,Crude Oil,Energy,78.95
8/2/2010,Gasoline,Energy,2.17
8/2/2010,Gold,Precious Metals,1187.50
8/2/2010,Heating Oil,Energy,2.15
8/2/2010,Natural Gas,Energy,1.80
8/2/2010,Platinum,Precious Metals,1576.80
8/2/2010,Rice,Agriculture,11.10
8/2/2010,Silver,Precious Metals,18.42
8/2/2010,Soybeans,Agriculture,1032.75
8/2/2010,Wheat,Agriculture,687.75
8/3/2010,Crude Oil,Energy,81.41
8/3/2010,Gasoline,Energy,2.19
8/3/2010,Gold,Precious Metals,1195.90
8/3/2010,Heating Oil,Energy,2.20
8/3/2010,Natural Gas,Energy,1.83
8/3/2010,Platinum,Precious Metals,1587.10
8/3/2010,Rice,Agriculture,11.18
8/3/2010,Silver,Precious Metals,18.28
8/3/2010,Soybeans,Agriculture,1012.00
8/3/2010,Wheat,Agriculture,693.25
8/4/2010,Crude Oil,Energy,82.42
8/4/2010,Gasoline,Energy,2.18
8/4/2010,Gold,Precious Metals,1199.30
8/4/2010,Heating Oil,Energy,2.20
8/4/2010,Natural Gas,Energy,1.85
8/4/2010,Platinum,Precious Metals,1586.20
8/4/2010,Rice,Agriculture,10.99
8/4/2010,Silver,Precious Metals,18.32
8/4/2010,Soybeans,Agriculture,1004.00
8/4/2010,Wheat,Agriculture,723.75
8/5/2010,Crude Oil,Energy,82.44
8/5/2010,Gasoline,Energy,2.16
8/5/2010,Gold,Precious Metals,1205.30
8/5/2010,Heating Oil,Energy,2.19
8/5/2010,Natural Gas,Energy,1.80
8/5/2010,Platinum,Precious Metals,1572.50
8/5/2010,Rice,Agriculture,11.04
8/5/2010,Silver,Precious Metals,18.47
8/5/2010,Soybeans,Agriculture,1004.50
8/5/2010,Wheat,Agriculture,712.00
8/6/2010,Crude Oil,Energy,82.12
8/6/2010,Gasoline,Energy,2.11
8/6/2010,Gold,Precious Metals,1202.60
8/6/2010,Heating Oil,Energy,2.15
8/6/2010,Natural Gas,Energy,1.73
8/6/2010,Platinum,Precious Metals,1570.80
8/6/2010,Rice,Agriculture,11.18
8/6/2010,Silver,Precious Metals,18.24
8/6/2010,Soybeans,Agriculture,1000.00
8/6/2010,Wheat,Agriculture,721.75
8/9/2010,Crude Oil,Energy,80.91
8/9/2010,Gasoline,Energy,2.12
8/9/2010,Gold,Precious Metals,1198.00
8/9/2010,Heating Oil,Energy,2.15
8/9/2010,Natural Gas,Energy,1.81
8/9/2010,Platinum,Precious Metals,1542.90
8/9/2010,Rice,Agriculture,11.70
8/9/2010,Silver,Precious Metals,18.16
8/9/2010,Soybeans,Agriculture,1002.75
8/9/2010,Wheat,Agriculture,705.00
8/10/2010,Crude Oil,Energy,81.44
8/10/2010,Gasoline,Energy,2.09
8/10/2010,Gold,Precious Metals,1199.20
8/10/2010,Heating Oil,Energy,2.13
8/10/2010,Natural Gas,Energy,1.79
8/10/2010,Platinum,Precious Metals,1537.00
8/10/2010,Rice,Agriculture,11.50
8/10/2010,Silver,Precious Metals,17.90
8/10/2010,Soybeans,Agriculture,1015.50
8/10/2010,Wheat,Agriculture,686.00
8/11/2010,Crude Oil,Energy,80.22
8/11/2010,Gasoline,Energy,2.00
8/11/2010,Gold,Precious Metals,1216.70
8/11/2010,Heating Oil,Energy,2.08
8/11/2010,Natural Gas,Energy,1.68
8/11/2010,Platinum,Precious Metals,1537.00
8/11/2010,Rice,Agriculture,11.54
8/11/2010,Silver,Precious Metals,18.07
8/11/2010,Soybeans,Agriculture,1026.00
8/11/2010,Wheat,Agriculture,692.75
8/12/2010,Crude Oil,Energy,77.31
8/12/2010,Gasoline,Energy,1.95
